n,profile,selectivity,policy_complexity,scheme,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,query_latency_overhead_x,authorized_rows,range_rows,tree_build_ms,root,selected_evidence
2000,dashboard_sales,0.05,3,range_tree,42983,1.540722,1.225174,0.030645,,10,103,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,3,provenance_only,373,0.237916,0.0007725,0.030645,,10,103,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,3,policy_oblivious,28029,1.357777,0.8412310000000001,0.030645,,10,103,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,3,adaptive_planner,29665,2.663111,1.478781,0.030645,,10,103,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.2,3,pacta,52118,3.517293,2.144474,0.059871,58.747857894473114,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,full_recompute,288569,0.012295,0.232171,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,full_table_hash,288647,0.031283,0.283545,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,tuple_merkle,235521,32.564313,5.80875,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,tuple_frontier,285699,34.075139,7.591421,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,range_tree,111143,1.79948,1.9102575,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,provenance_only,547,0.282121,0.0007635000000000001,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,policy_oblivious,50482,1.64376,1.1923085,0.059871,,45,420,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,3,adaptive_planner,52118,3.517293,2.144474,0.059871,,45,420,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.01,5,pacta,15524,2.601681,1.597318,0.024246,107.3035139816877,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,full_recompute,288530,0.015259,0.181233,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,full_table_hash,288608,0.031023,0.233492,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,tuple_merkle,26136,3.982493,0.730415,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,tuple_frontier,39759,4.912962,1.961988,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,range_tree,16991,1.276134,1.2899445,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,provenance_only,332,0.24841,0.001251,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,policy_oblivious,13884,1.11228,1.0040749999999998,0.024246,,5,21,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.01,5,adaptive_planner,15524,2.601681,1.597318,0.024246,,5,21,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.05,5,pacta,32293,2.937097,1.740383,0.037195,78.96483398306225,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,full_recompute,288568,0.011993,0.187671,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,full_table_hash,288646,0.048861,0.235122,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,tuple_merkle,120560,18.120186,3.0339475,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,tuple_frontier,150914,17.938088,4.459739000000001,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,range_tree,48773,1.529665,1.5231655,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,provenance_only,454,0.26807,0.001119,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,policy_oblivious,30653,1.376897,1.0458265,0.037195,,23,125,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.05,5,adaptive_planner,32293,2.937097,1.740383,0.037195,,23,125,86.029485,2acab4ec8e305383,policy_summary_cover
2000,dashboard_sales,0.2,5,pacta,56152,4.512206,3.071778,0.068306,66.05870640939303,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,full_recompute,288579,0.010605,0.236563,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,full_table_hash,288657,0.037855,0.281576,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,tuple_merkle,376625,51.505707,9.222578500000001,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,tuple_frontier,430827,53.701426,11.848704000000001,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,range_tree,116031,2.049638,3.0017695,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,provenance_only,690,0.29824,0.0008064999999999999,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,policy_oblivious,54512,1.728883,2.043251,0.068306,,72,426,86.029485,2acab4ec8e305383,
2000,dashboard_sales,0.2,5,adaptive_planner,56152,4.512206,3.071778,0.068306,,72,426,86.029485,2acab4ec8e305383,policy_summary_cover
5000,dashboard_sales,0.01,1,pacta,21404,3.235173,1.666202,0.019671,164.46408418484063,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,full_recompute,722444,0.010004,0.431831,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,full_table_hash,722522,0.029266,0.661373,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,tuple_merkle,20018,4.945592,0.590468,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,tuple_frontier,39538,6.383756,1.8528760000000002,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,range_tree,27078,2.346387,1.3765405,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,provenance_only,307,0.556342,0.0007880000000000001,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,policy_oblivious,19772,1.7685,1.051148,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,1,adaptive_planner,21404,3.235173,1.666202,0.019671,,3,50,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.05,1,pacta,32040,4.032588,2.055177,0.031643,127.4401289384698,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,full_recompute,722453,0.012532,0.47008,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,full_table_hash,722531,0.029357,0.55754,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,tuple_merkle,20029,5.038771,0.5546535,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,tuple_frontier,50176,6.655304,2.304607,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,range_tree,70691,2.739707,1.9025465000000001,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,provenance_only,318,0.606758,0.0007015,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,policy_oblivious,30408,2.168914,1.346002,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,1,adaptive_planner,32040,4.032588,2.055177,0.031643,,3,278,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.2,1,pacta,94595,6.48483,3.813393,0.091302,71.02615495827035,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,full_recompute,722493,0.014337,0.612131,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,full_table_hash,722571,0.031867,0.65332,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,tuple_merkle,230220,47.20354,5.564165,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,tuple_frontier,322882,50.425381,9.1413025,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,range_tree,239288,3.542004,3.96409,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,provenance_only,511,0.66792,0.000719,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,policy_oblivious,92963,2.970371,2.5191155,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.2,1,adaptive_planner,94595,6.48483,3.813393,0.091302,,35,1011,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.01,3,pacta,22394,3.413114,1.748915,0.027462,124.28497560265095,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,full_recompute,722459,0.010418,0.44278,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,full_table_hash,722537,0.028204,0.538182,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,tuple_merkle,33168,7.610178,0.8839215,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,tuple_frontier,53663,9.028897,2.304541,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,range_tree,28497,2.305675,1.45397,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,provenance_only,334,0.587322,0.0008405,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,policy_oblivious,20758,1.763492,1.1101915,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.01,3,adaptive_planner,22394,3.413114,1.748915,0.027462,,5,53,216.645521,d35fbf38a5bd78f8,policy_summary_cover
5000,dashboard_sales,0.05,3,pacta,58528,4.83796,2.704279,0.050022,96.71664467634241,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,full_recompute,722496,0.011301,0.463463,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,full_table_hash,722574,0.034407,0.61906,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,tuple_merkle,190806,38.930755,4.4839614999999995,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,tuple_frontier,247398,40.09877,7.001981499999999,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,range_tree,94272,2.81812,2.5474995,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,provenance_only,482,0.611607,0.000793,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,policy_oblivious,56892,2.25906,1.7244670000000002,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,
5000,dashboard_sales,0.05,3,adaptive_planner,58528,4.83796,2.704279,0.050022,,29,258,216.645521,d35fbf38a5bd78f8,policy_summary_cover
