n,scheme,certificate_bytes,server_generation_ms,client_verification_ms,opened_sales_count,result_groups
2000,complete-antijoin-groupby-fallback,223339,12.889411,7.875889,12,0
5000,complete-antijoin-groupby-fallback,564981,55.080903,18.8488985,30,0
