profile,settings,median_certificate_kib,p95_certificate_kib,median_verify_ms,p95_verify_ms,median_authorized_rows
dashboard_sales,48,39.81884765625,84.09970703125,2.3413195,3.27959365,18.0
finance_audit,48,41.9013671875,79.92060546875,2.3549610000000003,3.30005185,13.5
health_release,48,40.931640625,83.17978515624999,2.2268435,3.37033515,16.0
open_data_permits,48,33.587890625,76.98681640625,2.0418715,3.242127,16.0
tpch_lineitem_like,48,38.919921875,80.92265625,2.3256445,3.5135774999999994,15.5
