profile,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,tuple_frontier_estimated_bytes,root,source_kind
public_gapminder,1704,0.01,1,34879,2.082145,1.829107,0.043635,4,142,67.391747,21494,4c877d23a9315716,public_csv
public_gapminder,1704,0.05,1,36934,2.272473,1.833768,0.020857,4,142,67.391747,21491,4c877d23a9315716,public_csv
public_gapminder,1704,0.2,1,86191,4.408541,3.471841,0.04007,12,426,67.391747,63170,4c877d23a9315716,public_csv
public_gapminder,1704,0.01,3,7093,0.540919,0.443958,0.009329,0,0,67.391747,512,4c877d23a9315716,public_csv
public_gapminder,1704,0.05,3,36595,2.325521,1.794413,0.029377,13,142,67.391747,67788,4c877d23a9315716,public_csv
public_gapminder,1704,0.2,3,60395,2.910235,2.348915,0.040126,26,284,67.391747,136238,4c877d23a9315716,public_csv
public_gapminder,1704,0.01,5,7097,0.537106,0.440099,0.009284,0,0,67.391747,512,4c877d23a9315716,public_csv
public_gapminder,1704,0.05,5,34889,2.072005,1.736062,0.035601,33,142,67.391747,172607,4c877d23a9315716,public_csv
public_gapminder,1704,0.2,5,60297,3.042026,2.343342,0.067665,66,284,67.391747,344647,4c877d23a9315716,public_csv
public_apple_stock,240,0.01,1,6797,0.57039,0.626922,0.009647,0,3,9.101401,512,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.05,1,11969,1.218842,1.112115,0.009118,0,13,9.101401,512,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.2,1,17350,1.555557,1.604718,0.021308,16,49,9.101401,64374,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.01,3,6852,0.563877,0.572361,0.020127,3,3,9.101401,12563,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.05,3,12012,1.215652,1.142308,0.020038,13,13,9.101401,52401,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.2,3,17106,1.518451,1.421771,0.032098,31,49,9.101401,123029,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.01,5,6865,0.637159,0.608382,0.020907,3,3,9.101401,12590,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.05,5,11879,1.257685,1.194364,0.02067,13,13,9.101401,51894,bd0acaabd1d3e705,public_csv
public_apple_stock,240,0.2,5,12356,0.772722,0.694236,0.036839,49,49,9.101401,194168,bd0acaabd1d3e705,public_csv
