n,scheme,certificate_bytes,server_generation_ms,client_verification_ms,join_count
2000,limited-equi-join-returned-pair-authenticity,43409,5.195551,1.332253,4
5000,limited-equi-join-returned-pair-authenticity,108294,15.638708,2.871787,9
