n,page_size,fanout,lo,hi,certificate_bytes,build_ms,server_generation_ms,client_verification_ms_median,client_verification_ms_p95,pages
100000,2048,32,100,150,396768,503.68114299999434,35.29553399999941,25.25674000003164,25.35023100000444,49
100000,2048,32,400,600,508872,503.68114299999434,55.85515199999236,41.13853100000142,41.195413999957964,49
250000,2048,32,100,150,454711,1194.4447859999627,50.78532599998198,34.72124000001031,56.287913999995,123
250000,2048,32,400,600,724514,1194.4447859999627,96.26414100000602,71.84103700001288,74.48488500000394,123
500000,2048,32,100,150,547217,2293.61626900004,66.18326100004879,47.672098000020924,48.266864000027,245
500000,2048,32,400,600,1080273,2293.61626900004,156.51697900000272,118.47169800000756,119.22370400003501,245
1000000,2048,32,100,150,728491,4774.573320999991,102.73715800002492,71.51608899999928,71.93494399996325,489
1000000,2048,32,400,600,912641,4774.573320999991,128.34917700001824,98.14596600000414,98.98368599999685,489
