n,median_certificate_bytes,median_verify_ms,median_generation_ms,median_build_ms,pages
100000,452820.0,33.19763550001653,45.57534299999588,503.68114299999434,49.0
250000,589612.5,53.28113850001159,73.524733499994,1194.4447859999627,123.0
500000,813745.0,83.07189800001424,111.35012000002575,2293.61626900004,245.0
1000000,820566.0,84.83102750000171,115.54316750002158,4774.573320999991,489.0
